93.160.60.22 | [02/Sep/2018:03:36:05 -1000] | - | - | GET /?SearchableText=security+and+privacy HTTP/1.1 | 301 | - | Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0) LinkCheck by Siteimprove.com | - | 306 | 269 | 744716
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/plugins/simple_announcer_1_0_5/includes/css/simple_announcer_style.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 636 | 432 | 840 | 305
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-includes/css/dashicons.min.css?ver=4.9.7 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 46360 | 394 | 46566 | 143439
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/plugins/simple_category_posts/scp_style.css?ver=4.9.7 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 1421 | 415 | 1626 | 329
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/includes/nivo_slider/nivo-slider.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 2037 | 431 | 2242 | 298
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/includes/nivo_slider/themes/default/default.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 2547 | 442 | 2752 | 1121
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/themes/hic_state_template_parent/admin/css/font-awesome-st.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 28716 | 424 | 28922 | 148002
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/plugins/et-shortcodes/css/shortcodes.css?ver=3.0 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 36010 | 410 | 36216 | 149058
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/plugins/et-shortcodes/css/shortcodes_responsive.css?ver=3.0 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 1911 | 421 | 2116 | 272
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-content/plugins/list-category-posts-with-pagination/pagination.css HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 812 | 420 | 1016 | 239
58.142.253.40 | [02/Sep/2018:03:37:21 -1000] | - | - | GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 HTTP/1.1 | 200 | http://ags.hawaii.gov/Kamehameha/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36 | 10056 | 389 | 10269 | 353
